"sort_order","region_name"
"255","中国"
"255","","北京"
"255","","","北京"
"255","","","","东城区"
"255","","","","西城区"
"255","","","","海淀区"
"255","","","","朝阳区"
"255","","","","崇文区"
"255","","","","宣武区"
"255","","","","丰台区"
"255","","","","石景山区"
"255","","","","房山区"
"255","","","","门头沟区"
"255","","","","通州区"
"255","","","","顺义区"
"255","","","","昌平区"
"255","","","","怀柔区"
"255","","","","平谷区"
"255","","","","大兴区"
"255","","","","密云县"
"255","","","","延庆县"
"255","","安徽"
"255","","","安庆"
"255","","","","迎江区"
"255","","","","大观区"
"255","","","","宜秀区"
"255","","","","桐城市"
"255","","","","怀宁县"
"255","","","","枞阳县"
"255","","","","潜山县"
"255","","","","太湖县"
"255","","","","宿松县"
"255","","","","望江县"
"255","","","","岳西县"
"255","","","蚌埠"
"255","","","","中市区"
"255","","","","东市区"
"255","","","","西市区"
"255","","","","郊区"
"255","","","","怀远县"
"255","","","","五河县"
"255","","","","固镇县"
"255","","","巢湖"
"255","","","","居巢区"
"255","","","","庐江县"
"255","","","","无为县"
"255","","","","含山县"
"255","","","","和县"
"255","","","池州"
"255","","","","贵池区"
"255","","","","东至县"
"255","","","","石台县"
"255","","","","青阳县"
"255","","","滁州"
"255","","","","琅琊区"
"255","","","","南谯区"
"255","","","","天长市"
"255","","","","明光市"
"255","","","","来安县"
"255","","","","全椒县"
"255","","","","定远县"
"255","","","","凤阳县"
"255","","","阜阳"
"255","","","","蚌山区"
"255","","","","龙子湖区"
"255","","","","禹会区"
"255","","","","淮上区"
"255","","","","颍州区"
"255","","","","颍东区"
"255","","","","颍泉区"
"255","","","","界首市"
"255","","","","临泉县"
"255","","","","太和县"
"255","","","","阜南县"
"255","","","","颖上县"
"255","","","淮北"
"255","","","","相山区"
"255","","","","杜集区"
"255","","","","烈山区"
"255","","","","濉溪县"
"255","","","淮南"
"255","","","","田家庵区"
"255","","","","大通区"
"255","","","","谢家集区"
"255","","","","八公山区"
"255","","","","潘集区"
"255","","","","凤台县"
"255","","","黄山"
"255","","","","屯溪区"
"255","","","","黄山区"
"255","","","","徽州区"
"255","","","","歙县"
"255","","","","休宁县"
"255","","","","黟县"
"255","","","","祁门县"
"255","","","六安"
"255","","","","金安区"
"255","","","","裕安区"
"255","","","","寿县"
"255","","","","霍邱县"
"255","","","","舒城县"
"255","","","","金寨县"
"255","","","","霍山县"
"255","","","马鞍山"
"255","","","","雨山区"
"255","","","","花山区"
"255","","","","金家庄区"
"255","","","","当涂县"
"255","","","宿州"
"255","","","","埇桥区"
"255","","","","砀山县"
"255","","","","萧县"
"255","","","","灵璧县"
"255","","","","泗县"
"255","","","铜陵"
"255","","","","铜官山区"
"255","","","","狮子山区"
"255","","","","郊区"
"255","","","","铜陵县"
"255","","","芜湖"
"255","","","","镜湖区"
"255","","","","弋江区"
"255","","","","鸠江区"
"255","","","","三山区"
"255","","","","芜湖县"
"255","","","","繁昌县"
"255","","","","南陵县"
"255","","","宣城"
"255","","","","宣州区"
"255","","","","宁国市"
"255","","","","郎溪县"
"255","","","","广德县"
"255","","","","泾县"
"255","","","","绩溪县"
"255","","","","旌德县"
"255","","","亳州"
"255","","","","涡阳县"
"255","","","","蒙城县"
"255","","","","利辛县"
"255","","","","谯城区"
"255","","","合肥"
"255","","","","庐阳区"
"255","","","","瑶海区"
"255","","","","蜀山区"
"255","","","","包河区"
"255","","","","长丰县"
"255","","","","肥东县"
"255","","","","肥西县"
"255","","福建"
"255","","","福州"
"255","","","","鼓楼区"
"255","","","","台江区"
"255","","","","仓山区"
"255","","","","马尾区"
"255","","","","晋安区"
"255","","","","福清市"
"255","","","","长乐市"
"255","","","","闽侯县"
"255","","","","连江县"
"255","","","","罗源县"
"255","","","","闽清县"
"255","","","","永泰县"
"255","","","","平潭县"
"255","","","龙岩"
"255","","","","新罗区"
"255","","","","漳平市"
"255","","","","长汀县"
"255","","","","永定县"
"255","","","","上杭县"
"255","","","","武平县"
"255","","","","连城县"
"255","","","南平"
"255","","","","延平区"
"255","","","","邵武市"
"255","","","","武夷山市"
"255","","","","建瓯市"
"255","","","","建阳市"
"255","","","","顺昌县"
"255","","","","浦城县"
"255","","","","光泽县"
"255","","","","松溪县"
"255","","","","政和县"
"255","","","宁德"
"255","","","","蕉城区"
"255","","","","福安市"
"255","","","","福鼎市"
"255","","","","霞浦县"
"255","","","","古田县"
"255","","","","屏南县"
"255","","","","寿宁县"
"255","","","","周宁县"
"255","","","","柘荣县"
"255","","","莆田"
"255","","","","城厢区"
"255","","","","涵江区"
"255","","","","荔城区"
"255","","","","秀屿区"
"255","","","","仙游县"
"255","","","泉州"
"255","","","","鲤城区"
"255","","","","丰泽区"
"255","","","","洛江区"
"255","","","","清濛开发区"
"255","","","","泉港区"
"255","","","","石狮市"
"255","","","","晋江市"
"255","","","","南安市"
"255","","","","惠安县"
"255","","","","安溪县"
"255","","","","永春县"
"255","","","","德化县"
"255","","","","金门县"
"255","","","三明"
"255","","","","梅列区"
"255","","","","三元区"
"255","","","","永安市"
"255","","","","明溪县"
"255","","","","清流县"
"255","","","","宁化县"
"255","","","","大田县"
"255","","","","尤溪县"
"255","","","","沙县"
"255","","","","将乐县"
"255","","","","泰宁县"
"255","","","","建宁县"
"255","","","厦门"
"255","","","","思明区"
"255","","","","海沧区"
"255","","","","湖里区"
"255","","","","集美区"
"255","","","","同安区"
"255","","","","翔安区"
"255","","","漳州"
"255","","","","芗城区"
"255","","","","龙文区"
"255","","","","龙海市"
"255","","","","云霄县"
"255","","","","漳浦县"
"255","","","","诏安县"
"255","","","","长泰县"
"255","","","","东山县"
"255","","","","南靖县"
"255","","","","平和县"
"255","","","","华安县"
"255","","甘肃"
"255","","","兰州"
"255","","","","皋兰县"
"255","","","","城关区"
"255","","","","七里河区"
"255","","","","西固区"
"255","","","","安宁区"
"255","","","","红古区"
"255","","","","永登县"
"255","","","","榆中县"
"255","","","白银"
"255","","","","白银区"
"255","","","","平川区"
"255","","","","会宁县"
"255","","","","景泰县"
"255","","","","靖远县"
"255","","","定西"
"255","","","","临洮县"
"255","","","","陇西县"
"255","","","","通渭县"
"255","","","","渭源县"
"255","","","","漳县"
"255","","","","岷县"
"255","","","","安定区"
"255","","","甘南"
"255","","","","合作市"
"255","","","","临潭县"
"255","","","","卓尼县"
"255","","","","舟曲县"
"255","","","","迭部县"
"255","","","","玛曲县"
"255","","","","碌曲县"
"255","","","","夏河县"
"255","","","嘉峪关"
"255","","","","嘉峪关市"
"255","","","金昌"
"255","","","","金川区"
"255","","","","永昌县"
"255","","","酒泉"
"255","","","","肃州区"
"255","","","","玉门市"
"255","","","","敦煌市"
"255","","","","金塔县"
"255","","","","瓜州县"
"255","","","","肃北"
"255","","","","阿克塞"
"255","","","临夏"
"255","","","","临夏市"
"255","","","","临夏县"
"255","","","","康乐县"
"255","","","","永靖县"
"255","","","","广河县"
"255","","","","和政县"
"255","","","","东乡族自治县"
"255","","","","积石山"
"255","","","陇南"
"255","","","","成县"
"255","","","","徽县"
"255","","","","康县"
"255","","","","礼县"
"255","","","","两当县"
"255","","","","文县"
"255","","","","西和县"
"255","","","","宕昌县"
"255","","","","武都区"
"255","","","平凉"
"255","","","","崇信县"
"255","","","","华亭县"
"255","","","","静宁县"
"255","","","","灵台县"
"255","","","","崆峒区"
"255","","","","庄浪县"
"255","","","","泾川县"
"255","","","庆阳"
"255","","","","合水县"
"255","","","","华池县"
"255","","","","环县"
"255","","","","宁县"
"255","","","","庆城县"
"255","","","","西峰区"
"255","","","","镇原县"
"255","","","","正宁县"
"255","","","天水"
"255","","","","甘谷县"
"255","","","","秦安县"
"255","","","","清水县"
"255","","","","秦州区"
"255","","","","麦积区"
"255","","","","武山县"
"255","","","","张家川"
"255","","","武威"
"255","","","","古浪县"
"255","","","","民勤县"
"255","","","","天祝"
"255","","","","凉州区"
"255","","","张掖"
"255","","","","高台县"
"255","","","","临泽县"
"255","","","","民乐县"
"255","","","","山丹县"
"255","","","","肃南"
"255","","","","甘州区"
"255","","广东"
"255","","","广州"
"255","","","","从化市"
"255","","","","天河区"
"255","","","","东山区"
"255","","","","白云区"
"255","","","","海珠区"
"255","","","","荔湾区"
"255","","","","越秀区"
"255","","","","黄埔区"
"255","","","","番禺区"
"255","","","","花都区"
"255","","","","增城区"
"255","","","","从化区"
"255","","","","市郊"
"255","","","深圳"
"255","","","","福田区"
"255","","","","罗湖区"
"255","","","","南山区"
"255","","","","宝安区"
"255","","","","龙岗区"
"255","","","","盐田区"
"255","","","潮州"
"255","","","","湘桥区"
"255","","","","潮安县"
"255","","","","饶平县"
"255","","","东莞"
"255","","","","南城区"
"255","","","","东城区"
"255","","","","万江区"
"255","","","","莞城区"
"255","","","","石龙镇"
"255","","","","虎门镇"
"255","","","","麻涌镇"
"255","","","","道滘镇"
"255","","","","石碣镇"
"255","","","","沙田镇"
"255","","","","望牛墩镇"
"255","","","","洪梅镇"
"255","","","","茶山镇"
"255","","","","寮步镇"
"255","","","","大岭山镇"
"255","","","","大朗镇"
"255","","","","黄江镇"
"255","","","","樟木头"
"255","","","","凤岗镇"
"255","","","","塘厦镇"
"255","","","","谢岗镇"
"255","","","","厚街镇"
"255","","","","清溪镇"
"255","","","","常平镇"
"255","","","","桥头镇"
"255","","","","横沥镇"
"255","","","","东坑镇"
"255","","","","企石镇"
"255","","","","石排镇"
"255","","","","长安镇"
"255","","","","中堂镇"
"255","","","","高埗镇"
"255","","","佛山"
"255","","","","禅城区"
"255","","","","南海区"
"255","","","","顺德区"
"255","","","","三水区"
"255","","","","高明区"
"255","","","河源"
"255","","","","东源县"
"255","","","","和平县"
"255","","","","源城区"
"255","","","","连平县"
"255","","","","龙川县"
"255","","","","紫金县"
"255","","","惠州"
"255","","","","惠阳区"
"255","","","","惠城区"
"255","","","","大亚湾"
"255","","","","博罗县"
"255","","","","惠东县"
"255","","","","龙门县"
"255","","","江门"
"255","","","","江海区"
"255","","","","蓬江区"
"255","","","","新会区"
"255","","","","台山市"
"255","","","","开平市"
"255","","","","鹤山市"
"255","","","","恩平市"
"255","","","揭阳"
"255","","","","榕城区"
"255","","","","普宁市"
"255","","","","揭东县"
"255","","","","揭西县"
"255","","","","惠来县"
"255","","","茂名"
"255","","","","茂南区"
"255","","","","茂港区"
"255","","","","高州市"
"255","","","","化州市"
"255","","","","信宜市"
"255","","","","电白县"
"255","","","梅州"
"255","","","","梅县"
"255","","","","梅江区"
"255","","","","兴宁市"
"255","","","","大埔县"
"255","","","","丰顺县"
"255","","","","五华县"
"255","","","","平远县"
"255","","","","蕉岭县"
"255","","","清远"
"255","","","","清城区"
"255","","","","英德市"
"255","","","","连州市"
"255","","","","佛冈县"
"255","","","","阳山县"
"255","","","","清新县"
"255","","","","连山"
"255","","","","连南"
"255","","","汕头"
"255","","","","南澳县"
"255","","","","潮阳区"
"255","","","","澄海区"
"255","","","","龙湖区"
"255","","","","金平区"
"255","","","","濠江区"
"255","","","","潮南区"
"255","","","汕尾"
"255","","","","城区"
"255","","","","陆丰市"
"255","","","","海丰县"
"255","","","","陆河县"
"255","","","韶关"
"255","","","","曲江县"
"255","","","","浈江区"
"255","","","","武江区"
"255","","","","曲江区"
"255","","","","乐昌市"
"255","","","","南雄市"
"255","","","","始兴县"
"255","","","","仁化县"
"255","","","","翁源县"
"255","","","","新丰县"
"255","","","","乳源"
"255","","","阳江"
"255","","","","江城区"
"255","","","","阳春市"
"255","","","","阳西县"
"255","","","","阳东县"
"255","","","云浮"
"255","","","","云城区"
"255","","","","罗定市"
"255","","","","新兴县"
"255","","","","郁南县"
"255","","","","云安县"
"255","","","湛江"
"255","","","","赤坎区"
"255","","","","霞山区"
"255","","","","坡头区"
"255","","","","麻章区"
"255","","","","廉江市"
"255","","","","雷州市"
"255","","","","吴川市"
"255","","","","遂溪县"
"255","","","","徐闻县"
"255","","","肇庆"
"255","","","","肇庆市"
"255","","","","高要市"
"255","","","","四会市"
"255","","","","广宁县"
"255","","","","怀集县"
"255","","","","封开县"
"255","","","","德庆县"
"255","","","中山"
"255","","","","石岐街道"
"255","","","","东区街道"
"255","","","","西区街道"
"255","","","","环城街道"
"255","","","","中山港街道"
"255","","","","五桂山街道"
"255","","","珠海"
"255","","","","香洲区"
"255","","","","斗门区"
"255","","","","金湾区"
"255","","广西"
"255","","","南宁"
"255","","","","邕宁区"
"255","","","","青秀区"
"255","","","","兴宁区"
"255","","","","良庆区"
"255","","","","西乡塘区"
"255","","","","江南区"
"255","","","","武鸣县"
"255","","","","隆安县"
"255","","","","马山县"
"255","","","","上林县"
"255","","","","宾阳县"
"255","","","","横县"
"255","","","桂林"
"255","","","","秀峰区"
"255","","","","叠彩区"
"255","","","","象山区"
"255","","","","七星区"
"255","","","","雁山区"
"255","","","","阳朔县"
"255","","","","临桂县"
"255","","","","灵川县"
"255","","","","全州县"
"255","","","","平乐县"
"255","","","","兴安县"
"255","","","","灌阳县"
"255","","","","荔浦县"
"255","","","","资源县"
"255","","","","永福县"
"255","","","","龙胜"
"255","","","","恭城"
"255","","","百色"
"255","","","","右江区"
"255","","","","凌云县"
"255","","","","平果县"
"255","","","","西林县"
"255","","","","乐业县"
"255","","","","德保县"
"255","","","","田林县"
"255","","","","田阳县"
"255","","","","靖西县"
"255","","","","田东县"
"255","","","","那坡县"
"255","","","","隆林"
"255","","","北海"
"255","","","","海城区"
"255","","","","银海区"
"255","","","","铁山港区"
"255","","","","合浦县"
"255","","","崇左"
"255","","","","江州区"
"255","","","","凭祥市"
"255","","","","宁明县"
"255","","","","扶绥县"
"255","","","","龙州县"
"255","","","","大新县"
"255","","","","天等县"
"255","","","防城港"
"255","","","","港口区"
"255","","","","防城区"
"255","","","","东兴市"
"255","","","","上思县"
"255","","","贵港"
"255","","","","港北区"
"255","","","","港南区"
"255","","","","覃塘区"
"255","","","","桂平市"
"255","","","","平南县"
"255","","","河池"
"255","","","","金城江区"
"255","","","","宜州市"
"255","","","","天峨县"
"255","","","","凤山县"
"255","","","","南丹县"
"255","","","","东兰县"
"255","","","","都安"
"255","","","","罗城"
"255","","","","巴马"
"255","","","","环江"
"255","","","","大化"
"255","","","贺州"
"255","","","","八步区"
"255","","","","钟山县"
"255","","","","昭平县"
"255","","","","富川"
"255","","","来宾"
"255","","","","兴宾区"
"255","","","","合山市"
"255","","","","象州县"
"255","","","","武宣县"
"255","","","","忻城县"
"255","","","","金秀"
"255","","","柳州"
"255","","","","城中区"
"255","","","","鱼峰区"
"255","","","","柳北区"
"255","","","","柳南区"
"255","","","","柳江县"
"255","","","","柳城县"
"255","","","","鹿寨县"
"255","","","","融安县"
"255","","","","融水"
"255","","","","三江"
"255","","","钦州"
"255","","","","钦南区"
"255","","","","钦北区"
"255","","","","灵山县"
"255","","","","浦北县"
"255","","","梧州"
"255","","","","万秀区"
"255","","","","蝶山区"
"255","","","","长洲区"
"255","","","","岑溪市"
"255","","","","苍梧县"
"255","","","","藤县"
"255","","","","蒙山县"
"255","","","玉林"
"255","","","","玉州区"
"255","","","","北流市"
"255","","","","容县"
"255","","","","陆川县"
"255","","","","博白县"
"255","","","","兴业县"
"255","","贵州"
"255","","","贵阳"
"255","","","","南明区"
"255","","","","云岩区"
"255","","","","花溪区"
"255","","","","乌当区"
"255","","","","白云区"
"255","","","","小河区"
"255","","","","金阳新区"
"255","","","","新天园区"
"255","","","","清镇市"
"255","","","","开阳县"
"255","","","","修文县"
"255","","","","息烽县"
"255","","","安顺"
"255","","","","西秀区"
"255","","","","关岭"
"255","","","","镇宁"
"255","","","","紫云"
"255","","","","平坝县"
"255","","","","普定县"
"255","","","毕节"
"255","","","","毕节市"
"255","","","","大方县"
"255","","","","黔西县"
"255","","","","金沙县"
"255","","","","织金县"
"255","","","","纳雍县"
"255","","","","赫章县"
"255","","","","威宁"
"255","","","六盘水"
"255","","","","钟山区"
"255","","","","六枝特区"
"255","","","","水城县"
"255","","","","盘县"
"255","","","黔东南"
"255","","","","凯里市"
"255","","","","黄平县"
"255","","","","施秉县"
"255","","","","三穗县"
"255","","","","镇远县"
"255","","","","岑巩县"
"255","","","","天柱县"
"255","","","","锦屏县"
"255","","","","剑河县"
"255","","","","台江县"
"255","","","","黎平县"
"255","","","","榕江县"
"255","","","","从江县"
"255","","","","雷山县"
"255","","","","麻江县"
"255","","","","丹寨县"
"255","","","黔南"
"255","","","","都匀市"
"255","","","","福泉市"
"255","","","","荔波县"
"255","","","","贵定县"
"255","","","","瓮安县"
"255","","","","独山县"
"255","","","","平塘县"
"255","","","","罗甸县"
"255","","","","长顺县"
"255","","","","龙里县"
"255","","","","惠水县"
"255","","","","三都"
"255","","","黔西南"
"255","","","","兴义市"
"255","","","","兴仁县"
"255","","","","普安县"
"255","","","","晴隆县"
"255","","","","贞丰县"
"255","","","","望谟县"
"255","","","","册亨县"
"255","","","","安龙县"
"255","","","铜仁"
"255","","","","铜仁市"
"255","","","","江口县"
"255","","","","石阡县"
"255","","","","思南县"
"255","","","","德江县"
"255","","","","玉屏"
"255","","","","印江"
"255","","","","沿河"
"255","","","","松桃"
"255","","","","万山特区"
"255","","","遵义"
"255","","","","红花岗区"
"255","","","","务川县"
"255","","","","道真县"
"255","","","","汇川区"
"255","","","","赤水市"
"255","","","","仁怀市"
"255","","","","遵义县"
"255","","","","桐梓县"
"255","","","","绥阳县"
"255","","","","正安县"
"255","","","","凤冈县"
"255","","","","湄潭县"
"255","","","","余庆县"
"255","","","","习水县"
"255","","","","道真"
"255","","","","务川"
"255","","海南"
"255","","","海口"
"255","","","","秀英区"
"255","","","","龙华区"
"255","","","","琼山区"
"255","","","","美兰区"
"255","","","三亚"
"255","","","白沙"
"255","","","保亭"
"255","","","昌江"
"255","","","澄迈县"
"255","","","定安县"
"255","","","东方"
"255","","","乐东"
"255","","","临高县"
"255","","","陵水"
"255","","","琼海"
"255","","","琼中"
"255","","","屯昌县"
"255","","","万宁"
"255","","","文昌"
"255","","","五指山"
"255","","","儋州"
"255","","","","市区"
"255","","","","洋浦开发区"
"255","","","","那大镇"
"255","","","","王五镇"
"255","","","","雅星镇"
"255","","","","大成镇"
"255","","","","中和镇"
"255","","","","峨蔓镇"
"255","","","","南丰镇"
"255","","","","白马井镇"
"255","","","","兰洋镇"
"255","","","","和庆镇"
"255","","","","海头镇"
"255","","","","排浦镇"
"255","","","","东成镇"
"255","","","","光村镇"
"255","","","","木棠镇"
"255","","","","新州镇"
"255","","","","三都镇"
"255","","","","其他"
"255","","河北"
"255","","","石家庄"
"255","","","","长安区"
"255","","","","桥东区"
"255","","","","桥西区"
"255","","","","新华区"
"255","","","","裕华区"
"255","","","","井陉矿区"
"255","","","","高新区"
"255","","","","辛集市"
"255","","","","藁城市"
"255","","","","晋州市"
"255","","","","新乐市"
"255","","","","鹿泉市"
"255","","","","井陉县"
"255","","","","正定县"
"255","","","","栾城县"
"255","","","","行唐县"
"255","","","","灵寿县"
"255","","","","高邑县"
"255","","","","深泽县"
"255","","","","赞皇县"
"255","","","","无极县"
"255","","","","平山县"
"255","","","","元氏县"
"255","","","","赵县"
"255","","","保定"
"255","","","","新市区"
"255","","","","南市区"
"255","","","","北市区"
"255","","","","涿州市"
"255","","","","定州市"
"255","","","","安国市"
"255","","","","高碑店市"
"255","","","","满城县"
"255","","","","清苑县"
"255","","","","涞水县"
"255","","","","阜平县"
"255","","","","徐水县"
"255","","","","定兴县"
"255","","","","唐县"
"255","","","","高阳县"
"255","","","","容城县"
"255","","","","涞源县"
"255","","","","望都县"
"255","","","","安新县"
"255","","","","易县"
"255","","","","曲阳县"
"255","","","","蠡县"
"255","","","","顺平县"
"255","","","","博野县"
"255","","","","雄县"
"255","","","沧州"
"255","","","","运河区"
"255","","","","新华区"
"255","","","","泊头市"
